task_id,family,wording,label,anchor,L,k,suff,nec
exp12_search_edit_15,search_edit,canonical,1,FINAL_INSTRUCTION_END,3,0,0.009733125567436218,0.02105669677257538
exp12_search_edit_15,search_edit,paraphrase,1,USER_END,3,0,0.013238443061709404,-0.008353352546691895
exp12_search_edit_15,search_edit,paraphrase,1,FINAL_INSTRUCTION_END,3,0,0.013238443061709404,-0.008353352546691895
exp12_config_command_03,config_command,canonical,0,USER_END,3,0,-0.00890570878982544,-0.006158113479614258
exp12_config_command_03,config_command,canonical,0,FINAL_INSTRUCTION_END,3,0,-0.00890570878982544,-0.006158113479614258
exp12_config_command_03,config_command,paraphrase,0,USER_END,3,0,0.008224636316299438,0.010547786951065063
exp12_config_command_03,config_command,paraphrase,0,FINAL_INSTRUCTION_END,3,0,0.008224636316299438,0.010547786951065063
exp12_config_command_03,config_command,canonical,1,USER_END,3,0,-0.0012540370225906372,-0.0012691691517829895
exp12_config_command_03,config_command,canonical,1,FINAL_INSTRUCTION_END,3,0,-0.0012540370225906372,-0.0012691691517829895
exp12_config_command_03,config_command,paraphrase,1,USER_END,3,0,-3.966689109802246e-05,0.0115923210978508
exp12_config_command_03,config_command,paraphrase,1,FINAL_INSTRUCTION_END,3,0,-3.966689109802246e-05,0.0115923210978508
exp12_config_command_05,config_command,canonical,0,USER_END,3,0,-0.007243514060974121,0.0015298128128051758
exp12_config_command_05,config_command,canonical,0,FINAL_INSTRUCTION_END,3,0,-0.007243514060974121,0.0015298128128051758
exp12_config_command_05,config_command,paraphrase,0,USER_END,3,0,0.009378790855407715,-0.007963359355926514
exp12_config_command_05,config_command,paraphrase,0,FINAL_INSTRUCTION_END,3,0,0.009378790855407715,-0.007963359355926514
exp12_config_command_05,config_command,canonical,1,USER_END,3,0,0.00021907687187194824,0.009232096374034882
exp12_config_command_05,config_command,canonical,1,FINAL_INSTRUCTION_END,3,0,0.00021907687187194824,0.009232096374034882
exp12_config_command_05,config_command,paraphrase,1,USER_END,3,0,0.001391872763633728,-0.004029631614685059
exp12_config_command_05,config_command,paraphrase,1,FINAL_INSTRUCTION_END,3,0,0.001391872763633728,-0.004029631614685059
exp12_config_command_06,config_command,canonical,0,USER_END,3,0,0.0024057328701019287,-0.0029612183570861816
exp12_config_command_06,config_command,canonical,0,FINAL_INSTRUCTION_END,3,0,0.0024057328701019287,-0.0029612183570861816
exp12_config_command_06,config_command,paraphrase,0,USER_END,3,0,-0.010943412780761719,-0.018917977809906006
exp12_config_command_06,config_command,paraphrase,0,FINAL_INSTRUCTION_END,3,0,-0.010943412780761719,-0.018917977809906006
exp12_config_command_06,config_command,canonical,1,USER_END,3,0,-0.00677885115146637,0.0005533695220947266
exp12_config_command_06,config_command,canonical,1,FINAL_INSTRUCTION_END,3,0,-0.00677885115146637,0.0005533695220947266
exp12_config_command_06,config_command,paraphrase,1,USER_END,3,0,0.00013093650341033936,0.012074291706085205
exp12_config_command_06,config_command,paraphrase,1,FINAL_INSTRUCTION_END,3,0,0.00013093650341033936,0.012074291706085205
exp12_config_command_08,config_command,canonical,0,USER_END,3,0,0.003945410251617432,0.0030333995819091797
exp12_config_command_08,config_command,canonical,0,FINAL_INSTRUCTION_END,3,0,0.003945410251617432,0.0030333995819091797
exp12_config_command_08,config_command,paraphrase,0,USER_END,3,0,0.00786939263343811,-0.006668031215667725
exp12_config_command_08,config_command,paraphrase,0,FINAL_INSTRUCTION_END,3,0,0.00786939263343811,-0.006668031215667725
exp12_config_command_08,config_command,canonical,1,USER_END,3,0,0.0064056143164634705,0.0017894431948661804
exp12_config_command_08,config_command,canonical,1,FINAL_INSTRUCTION_END,3,0,0.0064056143164634705,0.0017894431948661804
exp12_config_command_08,config_command,paraphrase,1,USER_END,3,0,-0.014387711882591248,-0.013966158032417297
exp12_config_command_08,config_command,paraphrase,1,FINAL_INSTRUCTION_END,3,0,-0.014387711882591248,-0.013966158032417297
exp12_config_command_09,config_command,canonical,0,USER_END,3,0,0.0072487592697143555,0.013753652572631836
exp12_config_command_09,config_command,canonical,0,FINAL_INSTRUCTION_END,3,0,0.0072487592697143555,0.013753652572631836
exp12_config_command_09,config_command,paraphrase,0,USER_END,3,0,-0.0034737884998321533,-0.004878401756286621
exp12_config_command_09,config_command,paraphrase,0,FINAL_INSTRUCTION_END,3,0,-0.0034737884998321533,-0.004878401756286621
exp12_config_command_09,config_command,canonical,1,USER_END,3,0,-0.00269366055727005,0.003343634307384491
exp12_config_command_09,config_command,canonical,1,FINAL_INSTRUCTION_END,3,0,-0.00269366055727005,0.003343634307384491
exp12_config_command_09,config_command,paraphrase,1,USER_END,3,0,0.0076883286237716675,0.0004983991384506226
exp12_config_command_09,config_command,paraphrase,1,FINAL_INSTRUCTION_END,3,0,0.0076883286237716675,0.0004983991384506226
exp12_config_command_10,config_command,canonical,0,USER_END,3,0,0.003060758113861084,0.00012353062629699707
exp12_config_command_10,config_command,canonical,0,FINAL_INSTRUCTION_END,3,0,0.003060758113861084,0.00012353062629699707
exp12_config_command_10,config_command,paraphrase,0,USER_END,3,0,0.0016312599182128906,0.0003750324249267578
exp12_config_command_10,config_command,paraphrase,0,FINAL_INSTRUCTION_END,3,0,0.0016312599182128906,0.0003750324249267578
exp12_config_command_10,config_command,canonical,1,USER_END,3,0,-0.0018256157636642456,-7.337331771850586e-05
exp12_config_command_10,config_command,canonical,1,FINAL_INSTRUCTION_END,3,0,-0.0018256157636642456,-7.337331771850586e-05
exp12_config_command_10,config_command,paraphrase,1,USER_END,3,0,-0.014987900853157043,0.0005683526396751404
exp12_config_command_10,config_command,paraphrase,1,FINAL_INSTRUCTION_END,3,0,-0.014987900853157043,0.0005683526396751404
exp12_config_command_11,config_command,canonical,0,USER_END,3,0,0.0020807981491088867,-0.007036268711090088
exp12_config_command_11,config_command,canonical,0,FINAL_INSTRUCTION_END,3,0,0.0020807981491088867,-0.007036268711090088
exp12_config_command_11,config_command,paraphrase,0,USER_END,3,0,-0.01564505696296692,-0.008356660604476929
exp12_config_command_11,config_command,paraphrase,0,FINAL_INSTRUCTION_END,3,0,-0.01564505696296692,-0.008356660604476929
exp12_config_command_11,config_command,canonical,1,USER_END,3,0,0.0028706714510917664,0.012498170137405396
exp12_config_command_11,config_command,canonical,1,FINAL_INSTRUCTION_END,3,0,0.0028706714510917664,0.012498170137405396
exp12_config_command_11,config_command,paraphrase,1,USER_END,3,0,0.006593160331249237,-0.002574518322944641
exp12_config_command_11,config_command,paraphrase,1,FINAL_INSTRUCTION_END,3,0,0.006593160331249237,-0.002574518322944641
