task_id,family,wording,label,head,suff,nec
exp12_test_edit_01,test_edit,canonical,1,15,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,16,0.14526961743831635,0.14530324935913086
exp12_test_edit_01,test_edit,canonical,1,17,-0.0006255656480789185,-0.0014983713626861572
exp12_test_edit_01,test_edit,canonical,1,18,-0.00040265917778015137,0.005855679512023926
exp12_test_edit_01,test_edit,canonical,1,19,-0.01937524974346161,-0.028795868158340454
exp12_test_edit_01,test_edit,canonical,1,20,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,21,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,22,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,23,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,24,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,25,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,26,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,27,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,28,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,29,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,30,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,31,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,0,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,1,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,2,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,3,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,4,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,5,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,6,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,7,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,8,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,9,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,10,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,11,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,12,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,13,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,14,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,15,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,16,0.2092059850692749,0.1976718306541443
exp12_test_edit_01,test_edit,paraphrase,1,17,-0.001542896032333374,-0.0013754665851593018
exp12_test_edit_01,test_edit,paraphrase,1,18,0.0022610723972320557,0.009307533502578735
exp12_test_edit_01,test_edit,paraphrase,1,19,-0.027147918939590454,-0.044013917446136475
exp12_test_edit_01,test_edit,paraphrase,1,20,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,21,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,22,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,23,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,24,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,25,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,26,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,27,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,28,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,29,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,30,-0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,1,31,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,0,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,1,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,2,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,3,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,4,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,5,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,6,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,7,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,8,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,9,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,10,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,11,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,12,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,13,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,14,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,15,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,16,0.2097654491662979,0.21110018342733383
exp12_test_edit_03,test_edit,canonical,0,17,-0.0007099360227584839,1.8775463104248047e-06
exp12_test_edit_03,test_edit,canonical,0,18,0.007164262235164642,0.012766271829605103
exp12_test_edit_03,test_edit,canonical,0,19,-0.019801028072834015,-0.021181553602218628
exp12_test_edit_03,test_edit,canonical,0,20,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,21,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,22,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,23,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,24,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,25,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,26,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,27,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,28,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,29,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,30,0.0,0.0
exp12_test_edit_03,test_edit,canonical,0,31,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,0,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,1,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,2,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,3,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,4,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,5,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,6,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,7,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,8,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,9,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,10,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,11,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,12,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,13,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,14,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,15,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,16,0.22496993467211723,0.21617113053798676
exp12_test_edit_03,test_edit,paraphrase,0,17,-0.0012865103781223297,-0.0014049634337425232
exp12_test_edit_03,test_edit,paraphrase,0,18,0.010302022099494934,0.006699696183204651
exp12_test_edit_03,test_edit,paraphrase,0,19,-0.01765335351228714,-0.025068894028663635
exp12_test_edit_03,test_edit,paraphrase,0,20,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,21,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,22,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,23,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,24,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,25,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,26,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,27,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,28,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,29,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,30,0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,0,31,0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,0,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,1,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,2,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,3,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,4,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,5,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,6,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,7,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,8,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,9,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,10,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,11,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,12,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,13,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,14,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,15,-0.0,0.0
