hidden_state_index,decoder_layer_index,task_idx,task_id,condition,wording,recipient_label,donor_label,baseline_margin,patched_margin,raw_margin_shift,signed_transfer_effect
14,13,44,task_044,paraphrase_impl,paraphrase,1,0,0.14942121505737305,0.15705835819244385,0.007637143135070801,-0.007637143135070801
14,13,45,task_045,canonical_test,canonical,0,1,0.26653480529785156,0.26545190811157227,-0.0010828971862792969,-0.0010828971862792969
14,13,45,task_045,canonical_impl,canonical,1,0,0.5138814449310303,0.527376115322113,0.013494670391082764,-0.013494670391082764
14,13,45,task_045,paraphrase_test,paraphrase,0,1,0.35201042890548706,0.3512779474258423,-0.0007324814796447754,-0.0007324814796447754
14,13,45,task_045,paraphrase_impl,paraphrase,1,0,0.5637602806091309,0.5743071436882019,0.010546863079071045,-0.010546863079071045
14,13,46,task_046,canonical_test,canonical,0,1,-0.07154929637908936,-0.07308310270309448,-0.001533806324005127,-0.001533806324005127
14,13,46,task_046,canonical_impl,canonical,1,0,0.11958068609237671,0.11947476863861084,-0.00010591745376586914,0.00010591745376586914
14,13,46,task_046,paraphrase_test,paraphrase,0,1,-0.044143736362457275,-0.04480135440826416,-0.0006576180458068848,-0.0006576180458068848
14,13,46,task_046,paraphrase_impl,paraphrase,1,0,0.11581754684448242,0.11624443531036377,0.00042688846588134766,-0.00042688846588134766
14,13,47,task_047,canonical_test,canonical,0,1,0.1921595335006714,0.191359281539917,-0.0008002519607543945,-0.0008002519607543945
14,13,47,task_047,canonical_impl,canonical,1,0,0.309393048286438,0.3077980875968933,-0.0015949606895446777,0.0015949606895446777
14,13,47,task_047,paraphrase_test,paraphrase,0,1,0.3026019334793091,0.3018594980239868,-0.0007424354553222656,-0.0007424354553222656
14,13,47,task_047,paraphrase_impl,paraphrase,1,0,0.40422213077545166,0.4041370749473572,-8.505582809448242e-05,8.505582809448242e-05
15,14,0,task_000,canonical_test,canonical,0,1,-0.027992963790893555,-0.0352635383605957,-0.0072705745697021484,-0.0072705745697021484
15,14,0,task_000,canonical_impl,canonical,1,0,0.36184680461883545,0.3630080819129944,0.0011612772941589355,-0.0011612772941589355
15,14,0,task_000,paraphrase_test,paraphrase,0,1,0.1256169080734253,0.12515497207641602,-0.00046193599700927734,-0.00046193599700927734
15,14,0,task_000,paraphrase_impl,paraphrase,1,0,0.3675185441970825,0.36601001024246216,-0.0015085339546203613,0.0015085339546203613
15,14,1,task_001,canonical_test,canonical,0,1,0.10543620586395264,0.09502846002578735,-0.010407745838165283,-0.010407745838165283
15,14,1,task_001,canonical_impl,canonical,1,0,0.28898221254348755,0.29182952642440796,0.00284731388092041,-0.00284731388092041
15,14,1,task_001,paraphrase_test,paraphrase,0,1,0.12856131792068481,0.13192564249038696,0.0033643245697021484,0.0033643245697021484
15,14,1,task_001,paraphrase_impl,paraphrase,1,0,0.31440889835357666,0.3224218487739563,0.008012950420379639,-0.008012950420379639
15,14,2,task_002,canonical_test,canonical,0,1,-0.07738637924194336,-0.07023096084594727,0.007155418395996094,0.007155418395996094
15,14,2,task_002,canonical_impl,canonical,1,0,0.14630252122879028,0.15367913246154785,0.007376611232757568,-0.007376611232757568
15,14,2,task_002,paraphrase_test,paraphrase,0,1,0.026005864143371582,0.026801705360412598,0.0007958412170410156,0.0007958412170410156
15,14,2,task_002,paraphrase_impl,paraphrase,1,0,0.1809448003768921,0.18819153308868408,0.007246732711791992,-0.007246732711791992
15,14,3,task_003,canonical_test,canonical,0,1,0.244642972946167,0.24496686458587646,0.00032389163970947266,0.00032389163970947266
15,14,3,task_003,canonical_impl,canonical,1,0,0.5069242119789124,0.5105460286140442,0.003621816635131836,-0.003621816635131836
15,14,3,task_003,paraphrase_test,paraphrase,0,1,0.3604587912559509,0.3650836944580078,0.004624903202056885,0.004624903202056885
15,14,3,task_003,paraphrase_impl,paraphrase,1,0,0.5952398180961609,0.5946798324584961,-0.0005599856376647949,0.0005599856376647949
15,14,4,task_004,canonical_test,canonical,0,1,-0.09492921829223633,-0.09927970170974731,-0.004350483417510986,-0.004350483417510986
15,14,4,task_004,canonical_impl,canonical,1,0,0.04638153314590454,0.04933267831802368,0.0029511451721191406,-0.0029511451721191406
15,14,4,task_004,paraphrase_test,paraphrase,0,1,-0.09847128391265869,-0.09695684909820557,0.001514434814453125,0.001514434814453125
15,14,4,task_004,paraphrase_impl,paraphrase,1,0,0.00019937753677368164,0.006020784378051758,0.005821406841278076,-0.005821406841278076
15,14,5,task_005,canonical_test,canonical,0,1,0.20281684398651123,0.2030099630355835,0.00019311904907226562,0.00019311904907226562
15,14,5,task_005,canonical_impl,canonical,1,0,0.3670036196708679,0.3667130470275879,-0.0002905726432800293,0.0002905726432800293
15,14,5,task_005,paraphrase_test,paraphrase,0,1,0.30987393856048584,0.3095020055770874,-0.0003719329833984375,-0.0003719329833984375
15,14,5,task_005,paraphrase_impl,paraphrase,1,0,0.4311567544937134,0.4205271005630493,-0.010629653930664062,0.010629653930664062
15,14,6,task_006,canonical_test,canonical,0,1,-0.0008198022842407227,-0.0006601810455322266,0.0001596212387084961,0.0001596212387084961
15,14,6,task_006,canonical_impl,canonical,1,0,0.3120344877243042,0.32037729024887085,0.00834280252456665,-0.00834280252456665
15,14,6,task_006,paraphrase_test,paraphrase,0,1,0.1427626609802246,0.14486396312713623,0.002101302146911621,0.002101302146911621
15,14,6,task_006,paraphrase_impl,paraphrase,1,0,0.310981810092926,0.3111645579338074,0.00018274784088134766,-0.00018274784088134766
15,14,7,task_007,canonical_test,canonical,0,1,0.10678201913833618,0.10854893922805786,0.0017669200897216797,0.0017669200897216797
15,14,7,task_007,canonical_impl,canonical,1,0,0.2944295406341553,0.29589760303497314,0.001468062400817871,-0.001468062400817871
15,14,7,task_007,paraphrase_test,paraphrase,0,1,0.12693947553634644,0.12819480895996094,0.001255333423614502,0.001255333423614502
15,14,7,task_007,paraphrase_impl,paraphrase,1,0,0.25611329078674316,0.2545754313468933,-0.0015378594398498535,0.0015378594398498535
15,14,8,task_008,canonical_test,canonical,0,1,-0.05599009990692139,-0.05456244945526123,0.0014276504516601562,0.0014276504516601562
15,14,8,task_008,canonical_impl,canonical,1,0,0.13090527057647705,0.13506650924682617,0.004161238670349121,-0.004161238670349121
15,14,8,task_008,paraphrase_test,paraphrase,0,1,0.10671627521514893,0.10090315341949463,-0.005813121795654297,-0.005813121795654297
15,14,8,task_008,paraphrase_impl,paraphrase,1,0,0.22101426124572754,0.21672779321670532,-0.004286468029022217,0.004286468029022217
15,14,9,task_009,canonical_test,canonical,0,1,0.27307820320129395,0.27265453338623047,-0.00042366981506347656,-0.00042366981506347656
15,14,9,task_009,canonical_impl,canonical,1,0,0.5119462013244629,0.5085760354995728,-0.0033701658248901367,0.0033701658248901367
