task_idx,task_id,recipient_condition,recipient_wording,recipient_label,donor_type,donor_condition,donor_label,config,config_role,common_suffix_tokens,baseline_margin,patched_margin,raw_margin_shift,signed_transfer_effect
4,task_004,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,late_H21_H28,negative_control,121,-0.10215723514556885,-0.13030308485031128,-0.02814584970474243,-0.02814584970474243
4,task_004,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,late_H21_H28,negative_control,121,0.04504704475402832,0.0811699628829956,0.036122918128967285,-0.036122918128967285
4,task_004,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,late_H21_H28,negative_control,114,-0.09664011001586914,-0.11581927537918091,-0.019179165363311768,-0.019179165363311768
4,task_004,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,late_H21_H28,negative_control,114,0.009015023708343506,0.020416438579559326,0.01140141487121582,-0.01140141487121582
4,task_004,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,full_H15_H28,positive_control,121,-0.10215723514556885,-0.05801957845687866,0.044137656688690186,0.044137656688690186
4,task_004,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,full_H15_H28,positive_control,121,0.04504704475402832,0.014713585376739502,-0.03033345937728882,0.03033345937728882
4,task_004,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,full_H15_H28,positive_control,114,-0.09664011001586914,-0.04315716028213501,0.05348294973373413,0.05348294973373413
4,task_004,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,full_H15_H28,positive_control,114,0.009015023708343506,-0.03799968957901001,-0.047014713287353516,0.047014713287353516
4,task_004,canonical_test,canonical,0,self,canonical_test,0,early_H15_H20,control,286,-0.10215723514556885,-0.10215723514556885,0.0,0.0
4,task_004,canonical_impl,canonical,1,self,canonical_impl,1,early_H15_H20,control,286,0.04504704475402832,0.04504704475402832,0.0,0.0
4,task_004,paraphrase_test,paraphrase,0,self,paraphrase_test,0,early_H15_H20,control,270,-0.09664011001586914,-0.09664011001586914,0.0,0.0
4,task_004,paraphrase_impl,paraphrase,1,self,paraphrase_impl,1,early_H15_H20,control,270,0.009015023708343506,0.009015023708343506,0.0,0.0
4,task_004,canonical_test,canonical,0,same_state_cross_wording,paraphrase_test,0,early_H15_H20,control,87,-0.10215723514556885,-0.16088855266571045,-0.0587313175201416,0.0587313175201416
