task_id,family,wording,label,head,suff
exp12_test_edit_03,test_edit,paraphrase,1,10,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,11,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,12,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,13,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,14,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,15,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,16,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,17,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,18,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,19,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,20,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,21,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,22,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,23,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,24,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,25,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,26,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,27,-0.0
exp12_test_edit_05,test_edit,canonical,0,0,0.0003972388803958893
exp12_test_edit_05,test_edit,canonical,0,1,0.0042233774438500404
exp12_test_edit_05,test_edit,canonical,0,2,-0.0037501598708331585
exp12_test_edit_05,test_edit,canonical,0,3,0.0001568901352584362
exp12_test_edit_05,test_edit,canonical,0,4,-0.018574540503323078
exp12_test_edit_05,test_edit,canonical,0,5,0.004296944476664066
exp12_test_edit_05,test_edit,canonical,0,6,-0.011230624746531248
exp12_test_edit_05,test_edit,canonical,0,7,0.0
exp12_test_edit_05,test_edit,canonical,0,8,0.0
exp12_test_edit_05,test_edit,canonical,0,9,0.0
exp12_test_edit_05,test_edit,canonical,0,10,0.0
exp12_test_edit_05,test_edit,canonical,0,11,0.0
exp12_test_edit_05,test_edit,canonical,0,12,0.0
exp12_test_edit_05,test_edit,canonical,0,13,0.0
exp12_test_edit_05,test_edit,canonical,0,14,0.0
exp12_test_edit_05,test_edit,canonical,0,15,0.0
exp12_test_edit_05,test_edit,canonical,0,16,0.0
exp12_test_edit_05,test_edit,canonical,0,17,0.0
exp12_test_edit_05,test_edit,canonical,0,18,0.0
exp12_test_edit_05,test_edit,canonical,0,19,0.0
exp12_test_edit_05,test_edit,canonical,0,20,0.0
exp12_test_edit_05,test_edit,canonical,0,21,0.0
exp12_test_edit_05,test_edit,canonical,0,22,0.0
exp12_test_edit_05,test_edit,canonical,0,23,0.0
exp12_test_edit_05,test_edit,canonical,0,24,0.0
exp12_test_edit_05,test_edit,canonical,0,25,0.0
exp12_test_edit_05,test_edit,canonical,0,26,0.0
exp12_test_edit_05,test_edit,canonical,0,27,0.0
exp12_test_edit_05,test_edit,paraphrase,0,0,0.014891256927512586
exp12_test_edit_05,test_edit,paraphrase,0,1,0.01878106116782874
exp12_test_edit_05,test_edit,paraphrase,0,2,-0.00391141336876899
exp12_test_edit_05,test_edit,paraphrase,0,3,0.02322007075417787
exp12_test_edit_05,test_edit,paraphrase,0,4,0.003684162045828998
exp12_test_edit_05,test_edit,paraphrase,0,5,0.011639015865512192
exp12_test_edit_05,test_edit,paraphrase,0,6,0.003206406836397946
exp12_test_edit_05,test_edit,paraphrase,0,7,0.0
exp12_test_edit_05,test_edit,paraphrase,0,8,0.0
exp12_test_edit_05,test_edit,paraphrase,0,9,0.0
exp12_test_edit_05,test_edit,paraphrase,0,10,0.0
exp12_test_edit_05,test_edit,paraphrase,0,11,0.0
exp12_test_edit_05,test_edit,paraphrase,0,12,0.0
exp12_test_edit_05,test_edit,paraphrase,0,13,0.0
exp12_test_edit_05,test_edit,paraphrase,0,14,0.0
exp12_test_edit_05,test_edit,paraphrase,0,15,0.0
exp12_test_edit_05,test_edit,paraphrase,0,16,0.0
exp12_test_edit_05,test_edit,paraphrase,0,17,0.0
exp12_test_edit_05,test_edit,paraphrase,0,18,0.0
exp12_test_edit_05,test_edit,paraphrase,0,19,0.0
exp12_test_edit_05,test_edit,paraphrase,0,20,0.0
exp12_test_edit_05,test_edit,paraphrase,0,21,0.0
exp12_test_edit_05,test_edit,paraphrase,0,22,0.0
exp12_test_edit_05,test_edit,paraphrase,0,23,0.0
exp12_test_edit_05,test_edit,paraphrase,0,24,0.0
exp12_test_edit_05,test_edit,paraphrase,0,25,0.0
exp12_test_edit_05,test_edit,paraphrase,0,26,0.0
exp12_test_edit_05,test_edit,paraphrase,0,27,0.0
exp12_test_edit_05,test_edit,canonical,1,0,-7.252674549818039e-06
exp12_test_edit_05,test_edit,canonical,1,1,-9.50600951910019e-06
exp12_test_edit_05,test_edit,canonical,1,2,-2.032145857810974e-05
exp12_test_edit_05,test_edit,canonical,1,3,0.008590685669332743
exp12_test_edit_05,test_edit,canonical,1,4,0.004181551747024059
exp12_test_edit_05,test_edit,canonical,1,5,0.004154114052653313
exp12_test_edit_05,test_edit,canonical,1,6,1.4328863471746445e-05
exp12_test_edit_05,test_edit,canonical,1,7,-0.0
exp12_test_edit_05,test_edit,canonical,1,8,-0.0
exp12_test_edit_05,test_edit,canonical,1,9,-0.0
exp12_test_edit_05,test_edit,canonical,1,10,-0.0
exp12_test_edit_05,test_edit,canonical,1,11,-0.0
exp12_test_edit_05,test_edit,canonical,1,12,-0.0
exp12_test_edit_05,test_edit,canonical,1,13,-0.0
exp12_test_edit_05,test_edit,canonical,1,14,-0.0
exp12_test_edit_05,test_edit,canonical,1,15,-0.0
exp12_test_edit_05,test_edit,canonical,1,16,-0.0
exp12_test_edit_05,test_edit,canonical,1,17,-0.0
exp12_test_edit_05,test_edit,canonical,1,18,-0.0
exp12_test_edit_05,test_edit,canonical,1,19,-0.0
exp12_test_edit_05,test_edit,canonical,1,20,-0.0
exp12_test_edit_05,test_edit,canonical,1,21,-0.0
exp12_test_edit_05,test_edit,canonical,1,22,-0.0
