task_idx,task_id,recipient_condition,recipient_wording,donor_condition,donor_label,offset,endpoint,value
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-10,leave_one_out_loss,0.00035965442657470703
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-9,single_token_sufficiency,0.002794921398162842
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-9,single_token_necessity_loss,0.0008035898208618164
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-9,leave_one_out_loss,0.0003097057342529297
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-8,single_token_sufficiency,0.00011181831359863281
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-8,single_token_necessity_loss,0.001189112663269043
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-8,leave_one_out_loss,0.00034439563751220703
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-7,single_token_sufficiency,0.002043783664703369
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-7,single_token_necessity_loss,0.0015494823455810547
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-7,leave_one_out_loss,-0.0005832910537719727
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-6,single_token_sufficiency,-0.0006529688835144043
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-6,single_token_necessity_loss,0.00014293193817138672
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-6,leave_one_out_loss,0.0002739429473876953
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-5,single_token_sufficiency,0.04173678159713745
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-5,single_token_necessity_loss,0.053870439529418945
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-5,leave_one_out_loss,0.04170370101928711
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-4,single_token_sufficiency,0.002093374729156494
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-4,single_token_necessity_loss,1.430511474609375e-05
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-4,leave_one_out_loss,-0.0005517005920410156
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-3,single_token_sufficiency,0.019617736339569092
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-3,single_token_necessity_loss,0.007845163345336914
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-3,leave_one_out_loss,0.005229473114013672
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-2,single_token_sufficiency,-0.0017713308334350586
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-2,single_token_necessity_loss,6.604194641113281e-05
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-2,leave_one_out_loss,-0.0005670785903930664
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-1,single_token_sufficiency,0.01441890001296997
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-1,single_token_necessity_loss,0.008482217788696289
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-1,leave_one_out_loss,0.014299631118774414
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,0,full_KV0_B5_sufficiency,0.09117037057876587
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,0,full_KV0_B5_necessity_loss,0.0785265564918518
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,0,H20_residual_reference,0.10952776670455933
1,task_001,canonical_test,canonical,canonical_impl,1,-20,single_token_sufficiency,3.921985626220703e-05
1,task_001,canonical_test,canonical,canonical_impl,1,-20,single_token_necessity_loss,0.0006846189498901367
1,task_001,canonical_test,canonical,canonical_impl,1,-20,leave_one_out_loss,0.0013319849967956543
1,task_001,canonical_test,canonical,canonical_impl,1,-19,single_token_sufficiency,-0.0015522241592407227
1,task_001,canonical_test,canonical,canonical_impl,1,-19,single_token_necessity_loss,-0.0006554126739501953
1,task_001,canonical_test,canonical,canonical_impl,1,-19,leave_one_out_loss,0.00027614831924438477
1,task_001,canonical_test,canonical,canonical_impl,1,-18,single_token_sufficiency,-3.701448440551758e-05
1,task_001,canonical_test,canonical,canonical_impl,1,-18,single_token_necessity_loss,0.0008807778358459473
